date	sex	dose	alive	dead	total	age	population	exposition	active_substance	number_comp	genediv_comp	expo_comp	age_comp
01/10/20	female	5	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0	6	0	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.01	4	0	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.05	2	0	2	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.1	7	1	8	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.25	0	5	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	1	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	5	0	5	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0	7	0	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.01	3	1	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.05	5	1	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.1	2	4	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.25	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	1	0	4	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	5	0	4	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0	7	0	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.01	3	2	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.05	5	2	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.1	1	3	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.25	0	6	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	1	0	8	8	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	5	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0	4	1	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.01	6	1	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.05	3	1	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.1	1	8	9	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.25	0	3	3	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	1	0	5	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	5	0	4	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0	6	0	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.01	4	0	4	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.05	5	0	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.1	2	4	6	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	0.25	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	1	0	5	5	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
01/10/20	male	5	0	7	7	24-48h	ste-foy	24h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	3	1	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	7	1	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	4	3	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	2	6	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	1	7	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	8	1	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	7	2	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	5	1	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	2	4	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	0	4	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	9	0	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	3	1	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	5	1	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	0	5	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	0	8	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	6	1	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	3	3	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	8	1	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	1	4	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	1	5	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	5	0	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	6	3	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	6	2	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	2	4	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	1	3	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.01	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.05	5	0	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.1	3	1	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.25	3	2	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	1	0	5	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	5	1	4	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.01	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.05	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.1	1	3	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.25	2	4	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	1	1	5	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	5	0	8	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.01	10	0	10	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.05	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.1	7	1	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.25	2	4	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	1	0	7	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	5	0	4	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0	5	0	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.01	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.05	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.1	4	3	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.25	3	0	3	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	1	2	5	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	5	0	6	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.01	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.05	6	1	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.1	2	1	3	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	0.25	3	2	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	1	1	6	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	male	5	0	9	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	4	0	4	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	8	0	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	8	0	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	6	2	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	4	3	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	0	8	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	1	7	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0	4	2	6	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.01	6	0	6	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.05	9	0	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.1	5	4	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	0.25	4	2	6	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	1	2	4	6	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
07/10/20	female	5	0	4	4	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
